ID;T_ID;T_Gen;T_sex;Month;Season;Year;Location;Beat;Prey_code_DV;P_Sp_code;P_species;Age_group;P_Sex_Code;P_Sex;Remarks;reserve_cl;reserve_nm;2km_OF_Village;250_OF_water
1;T1;1;2;4;S;2009;MADLA;228;W;6;CHEETAL;ADULT;1;MALE;NO REMARKS;2;core_area;1;1
2;T1;1;2;4;S;2009;JUDI;224;W;5;SAMBAR;ADULT;1;MALE;KILL DATE 26.04.2009;2;core_area;0;0
3;T1;1;2;4;S;2009;BHADAR;228;W;5;SAMBAR;ADULT;2;FEMALE;KILL DATE 14.04.2009;2;core_area;0;1
4;T1;1;2;4;S;2009;JUDI;226;W;6;CHEETAL;ADULT;1;MALE;NO REMARKS;2;core_area;0;0
5;T1;1;2;4;S;2009;PIPARTOLA;414;W;5;SAMBAR;ADULT;1;MALE;WITNESSED KILLING;2;core_area;0;1
6;T1;1;2;6;S;2009;JUDI;226;W;6;CHEETAL;ADULT;1;MALE;2 DAYS OLD KILL;2;core_area;0;0
7;T1;1;2;6;S;2009;PIPARTOLA;222;W;5;SAMBAR;ADULT;2;FEMALE;1 DAY OLD KILL;2;core_area;0;1
8;T1;1;2;6;S;2009;PIPARTOLA;424;W;4;NILGAI;UNKNOWN;1;MALE;3 DAY OLD KILL;2;core_area;0;1
9;T1;1;2;6;S;2009;PIPARTOLA;222;W;5;SAMBAR;ADULT;2;FEMALE;KILL HAPPENED DURING NIGHT;2;core_area;0;1
10;T1;1;2;7;R;2009;NARARAN;404;W;5;SAMBAR;ADULT;1;MALE;NO REMARKS;2;core_area;0;0
11;T1;1;2;8;R;2009;PIPARTOLA;222;W;5;SAMBAR;ADULT;2;FEMALE;3 DAY OLD KILL;2;core_area;0;1
12;T1;1;2;8;R;2009;BADGADI;493;W;4;NILGAI;UNKNOWN;1;MALE;KILL HAPPENED DURING NIGHT;2;core_area;0;0
13;T1;1;2;8;R;2009;PIPARTOLA;424;W;5;SAMBAR;ADULT;1;MALE;4 DAY OLD KILL;2;core_area;0;1
14;T1;1;2;9;R;2009;JUDI;224;W;5;SAMBAR;ADULT;1;MALE;4 DAY OLD KILL;2;core_area;0;0
15;T1;1;2;10;R;2009;JUDI;224;W;5;SAMBAR;ADULT;3;UNKNOWN;NO REMARKS;2;core_area;0;1
16;T1;1;2;11;W;2009;PIPARTOLA;222;W;5;SAMBAR;ADULT;1;MALE;NO REMARKS;2;core_area;0;1
17;T1;1;2;11;W;2009;KHARIYA;434;W;5;SAMBAR;ADULT;2;FEMALE;NO REMARKS;2;core_area;0;0
18;T1;1;2;12;W;2009;KHARIYA;434;W;5;SAMBAR;ADULT;3;UNKNOWN;NO REMARKS;2;core_area;0;0
